charm,Latin
charm,Portuguese
charm,West African Sidiki
spell,Greek
spell,Latin
curse,Aramaic
charm,Latin
spell,Latin
spell,Latin
spell,Latin
curse,Latin
charm,Latin
curse,Latin
curse,Latin
spell,Latin
spell,Latin
spell,Latin
spell,Latin
spell,Latin
spell,Latin
spell,Latin
charm,English
spell,Latin
spell,Greek
spell,Latin
charm,Latin
charm,Pig Latin
spell,Latin
spell,Latin
charm,Latin
spell,Latin
spell,Latin
jinx,English
curse,Latin
spell,Latin
spell,French
spell,Latin
charm,Greek
charm,Latin
charm,Latin
curse,Latin
charm,Latin
spell,Latin
spell,Spanish
spell,English
spell,Latin
spell,Latin
spell,Latin
spell,Latin
spell,Greek
charm,Latin
spell,Latin
spell,French
spell,English
spell,Latin
charm,Latin
spell,Latin
spell,Latin
spell,Latin
spell,English
spell,Latin
charm,English
spell,Latin
charm,Latin
spell,Latin
spell,Latin
spell,Latin
spell,Latin
spell,Latin
spell,Latin
spell,Latin
spell,English
charm,Latin
spell,Latin
spell,Latin
spell,Latin
spell,Latin
spell,Latin
spell,Latin
spell,Latin
spell,Latin
spell,Italian
spell,Latin
spell,French
charm,Latin
